Date,Time,Close
25/05/2021,12:15:00 PM,4193.75
25/05/2021,12:30:00 PM,4191.5
25/05/2021,12:45:00 PM,4190.5
25/05/2021,1:00:00 PM,4188.25
25/05/2021,1:15:00 PM,4186
25/05/2021,1:30:00 PM,4189.25
25/05/2021,1:45:00 PM,4186.75
25/05/2021,2:00:00 PM,4181.5
25/05/2021,2:15:00 PM,4187.5
25/05/2021,2:30:00 PM,4185.75
25/05/2021,2:45:00 PM,4185.75
25/05/2021,3:00:00 PM,4185
25/05/2021,3:30:00 PM,4186.75
25/05/2021,3:45:00 PM,4188.5
26/05/2021,9:30:00 AM,4190.5
26/05/2021,9:45:00 AM,4192
26/05/2021,10:00:00 AM,4193.75
26/05/2021,10:15:00 AM,4192.5
26/05/2021,10:30:00 AM,4192
26/05/2021,10:45:00 AM,4195.75
26/05/2021,11:00:00 AM,4196.75
26/05/2021,11:15:00 AM,4196
26/05/2021,11:30:00 AM,4196.75
26/05/2021,11:45:00 AM,4196.75
26/05/2021,12:00:00 PM,4194.75
26/05/2021,12:15:00 PM,4195.5
26/05/2021,12:30:00 PM,4190.25
26/05/2021,12:45:00 PM,4189.75
26/05/2021,1:00:00 PM,4192.75
26/05/2021,1:15:00 PM,4193.75
26/05/2021,1:30:00 PM,4193.5
26/05/2021,1:45:00 PM,4191.5
26/05/2021,2:00:00 PM,4192
26/05/2021,2:15:00 PM,4192.5
26/05/2021,2:30:00 PM,4192
26/05/2021,2:45:00 PM,4193.75
26/05/2021,3:00:00 PM,4193.75
26/05/2021,3:30:00 PM,4193.75
26/05/2021,3:45:00 PM,4193.75
27/05/2021,9:30:00 AM,4209.5
27/05/2021,9:45:00 AM,4203.75
27/05/2021,10:00:00 AM,4204
27/05/2021,10:15:00 AM,4200.25
27/05/2021,10:30:00 AM,4203
27/05/2021,10:45:00 AM,4205.75
27/05/2021,11:00:00 AM,4206.25
27/05/2021,11:15:00 AM,4205.75
27/05/2021,11:30:00 AM,4205
27/05/2021,11:45:00 AM,4203.25
27/05/2021,12:00:00 PM,4203.75
27/05/2021,12:15:00 PM,4202
27/05/2021,12:30:00 PM,4199.25
27/05/2021,12:45:00 PM,4200
27/05/2021,1:00:00 PM,4195.75
27/05/2021,1:15:00 PM,4198.75
27/05/2021,1:30:00 PM,4196.5
27/05/2021,1:45:00 PM,4199
27/05/2021,2:00:00 PM,4197
27/05/2021,2:15:00 PM,4197.25
27/05/2021,2:30:00 PM,4197.5
27/05/2021,2:45:00 PM,4195
27/05/2021,3:00:00 PM,4208
27/05/2021,3:30:00 PM,4209
27/05/2021,3:45:00 PM,4211.25
